title,company,description,link,listedOn,email,phone,city,region,salary,runDate
Senior GIS Analyst,Urban Intelligence,Do you want to make a positive impact by applying geospatial analysis and programming skills to tackle complex environmental challenges?,https://www.seek.co.nz/job/77732529?type=promoted&ref=search-standalone&origin=cardTitle#sol=1e430569da6afd1a01beca4a5119e4a01e405b0c,,,027 698 3323,East Tamaki,Auckland,"$93,000-$105,000",2024-07-31
Digital and Database Lead,Basketball New Zealand,This is a fantastic leadership opportunity to help shape the future of New Zealand's fastest growing major sport.,https://www.seek.co.nz/job/77731487?type=standout&ref=search-standalone&origin=cardTitle#sol=e869985cc0d26fd92c217a41b67cdabfeb0f67f4,,jobs@nz.basket,,East Tamaki,Auckland,Up to $118743 p.a. (AUD),2024-07-31
HRIS Systems Administrator,Land Information New Zealand,Support crucial systems and tools that deliver people services across Toitū Te Whenua.,https://www.seek.co.nz/job/77739302?type=standout&ref=search-standalone&origin=cardTitle#sol=c382e9e1e63030124433015cd9c37444c452253e,,opportunities@linz.govt.nz,,East Tamaki,Auckland,NZD 120000 per annum,2024-07-31
Intermediate Fullstack Developer,H2R Technology Limited,We're seeking an intermediate Fullstack Developer with 2 to 4 years of commercial working experience and contribute to a meaningful organsiation.,https://www.seek.co.nz/job/77740785?type=standard&ref=search-standalone&origin=cardTitle#sol=01434f88c814375f0dd341cc945f4b2a483ebcbe,,torban.otway@h2r.co.nz,,East Tamaki,Auckland,,2024-07-31
Lead Enterprise Systems Engineer,Department of Conservation,"We are on the hunt for not one, but three Lead Enterprise Systems Engineers who can wrangle both wildlife and technology!&#8239;",https://www.seek.co.nz/job/77740544?type=standout&ref=search-standalone&origin=cardTitle#sol=6fba119d4f2ab5716687a1622eb80eb61302f69e,,aaron.evans@doc.govt.nz,,East Tamaki,Auckland,,2024-07-31
Senior Developer,NOW New Zealand Limited,Ready to shape the future of our tech and make a lasting impact?,https://www.seek.co.nz/job/77737960?type=standout&ref=search-standalone&origin=cardTitle#sol=b8a8034b83bfc51bdf39ee2f9f3033961c37bd5f,,martin@engagers.co.nz,,East Tamaki,Auckland,,2024-07-31
Senior GIS Analyst,Urban Intelligence,Do you want to make a positive impact by applying geospatial analysis and programming skills to tackle complex environmental challenges?,https://www.seek.co.nz/job/77732529?type=standout&ref=search-standalone&origin=cardTitle#sol=c0330fe27dd0ffcaf1aaf8171dc5c5e1a0d15f8d,,,027 698 3323,East Tamaki,Auckland,,2024-07-31
Senior GIS Analyst,Urban Intelligence,Do you want to make a positive impact by applying geospatial analysis and programming skills to tackle complex environmental challenges?,https://www.seek.co.nz/job/77732529?type=promoted&ref=search-standalone&origin=cardTitle#sol=75e9ae0c1c8b290b5bd5da4e2be1a86a5756f4f2,,,027 698 3323,Christchurch Central,Canterbury,"$80,000 – $110,000 per year",2024-07-31
Chapter Lead Data,Waka Kotahi - NZ Transport Agency,"Build your Chapter Lead Data wiht NZTA | Waka Kotahi and join us in this new journey in our Chapter Lead model",https://www.seek.co.nz/job/77733520?type=standout&ref=search-standalone&origin=cardTitle#sol=76aff5e88a73c2869727be1627ea56b1c9b4a1f6,,careers@nzta.govt.nz,,Christchurch Central,Canterbury,,2024-07-31
Chapter Lead Data,Waka Kotahi - NZ Transport Agency,"Build your Chapter Lead Data wiht NZTA | Waka Kotahi and join us in this new journey in our Chapter Lead model",https://www.seek.co.nz/job/77733517?type=standout&ref=search-standalone&origin=cardTitle#sol=c19f5d7448a5750b6605520bf4e3478ece3baf57,,careers@nzta.govt.nz,,Christchurch Central,Canterbury,,2024-07-31
