title,company,description,link,listedOn,email,phone,city,region,salary,runDate
Data Engineer,Momentum Consulting Group,Data Engineer with Snowflake and DBT or Coalesce experience required for a long term contract. Able to wait for a 4 week notice periods.,https://www.seek.co.nz/job/77590184?type=standout&ref=search-standalone&origin=cardTitle#sol=07ea8826ab10c8f249a22f8a9af3ffdbad706228,,,021 233 1007,Wellington,Christchurch Central,"$80,000 – $100,000 per year",2024-07-29
Change and Release Environments Manager,Waka Kotahi - NZ Transport Agency,"This role will focus on leading and managing the digital change, release & environments function for the National Ticketing Solution (NTS) Programme.",https://www.seek.co.nz/job/77600534?type=standout&ref=search-standalone&origin=cardTitle#sol=d09889bfd0a6881eb309dae29112798b70f591ea,,careers@nzta.govt.nz,,Wellington,Christchurch Central,Excellent Salary with Good Benefits & Flex Working,2024-07-29
Customer Onboarding Manager,NOW New Zealand Limited,Are you ready to make a real impact on our customers' first impressions?,https://www.seek.co.nz/job/77638496?type=standout&ref=search-standalone&origin=cardTitle#sol=7f7ea6e8911b399aa5169e0768463214fa80d8cf,,louise@engagers.co.nz,027 205 8356,Wellington,Christchurch Central,,2024-07-29
Business Analyst,Mercury,"Enable change within Mercury by providing high quality business analysis services through the definition, design & development of solutions.",https://www.seek.co.nz/job/77643984?type=standout&ref=search-standalone&origin=cardTitle#sol=0fe2228dcd3dd305fd6a1e327cf52dec0266a396,,recruitment@mercury.co.nz,,Wellington,Christchurch Central,,2024-07-29
Defect Manager,Younity,"12-month contract for a Defect Manager, based in Wellington. You will be leading the bug management of test phases and working with key stakeholders.",https://www.seek.co.nz/job/77641343?type=standout&ref=search-standalone&origin=cardTitle#sol=212b2337aeb071aa0e01115160b8c97276fdaa18,,chloe@younity.co.nz,,Wellington,Christchurch Central,,2024-07-29
Technical Bike Data Interpreter (Bicycle Industry),Bike Matrix,Ready to work from home and help us change the bike industry? We need skilled mechanics who are great at working with data to help us pull it off.,https://www.seek.co.nz/job/77645537?type=standout&ref=search-standalone&origin=cardTitle#sol=3c09449a73ac67002c9186ca635b5e35baeaa4da,,jointheteam@bikematrix.io,,Wellington,Christchurch Central,,2024-07-29
Senior Business Architect,Inland Revenue,"Provide targeted Business architecture expertise and design advice to Senior leadership, Policy and Government.",https://www.seek.co.nz/job/77644853?type=standout&ref=search-standalone&origin=cardTitle#sol=543274d5fb4d22fe4930edbdb2119757ea2a06fc,,Julie.Galang@ird.govt.nz,,Wellington,Christchurch Central,,2024-07-29
Change and Release Environments Manager,Waka Kotahi - NZ Transport Agency,"This role will focus on leading and managing the digital change, release & environments function for the National Ticketing Solution (NTS) Programme.",https://www.seek.co.nz/job/77600530?type=standout&ref=search-standalone&origin=cardTitle#sol=eaa1e330d58eb29e27c831c8ae38b47e873bddfc,,careers@nzta.govt.nz,,Wellington,Christchurch Central,,2024-07-29
Technical Business Analyst,Crew Technology Recruitment,A great fixed-term opportunity for an experienced Technical Business Analyst to provide pivotal insights to drive digital transformation projects.,https://www.seek.co.nz/job/77646554?type=standout&ref=search-standalone&origin=cardTitle#sol=cb9a6e5433c1233042c40c4e637e13c9a0289b3e,,narna@crewconsulting.co.nz,,Auckland CBD,Auckland,,2024-07-29
Site Reliability Engineer,Basis NZ Limited,"An exciting opportunity to grow your DevSecOps skills in a fast-paced, NZ based start-up! ⚡️",https://www.seek.co.nz/job/77604765?type=standout&ref=search-standalone&origin=cardTitle#sol=218de11e6b24b6c0d413f7602ccb65749555a29e,,talent@wearebasis.com,,Auckland CBD,Auckland,,2024-07-29
Senior Level 3 Engineer,Appoint Limited,"Trusted Technical Advisor and member of the Senior Team, consulting with clients on best practis, mentoring junior members of the team.",https://www.seek.co.nz/job/77590166?type=standout&ref=search-standalone&origin=cardTitle#sol=b22a7bdaa3ac44476745a9035a92b621f9f0d139,,zoanne@appoint.co.nz,0277668891,Christchurch Central,Canterbury,$129K-$152K + 15% STI + 5% KS + health insurance,2024-07-29
Cloud Infrastructure Analyst - Contract,Crew Technology Recruitment,Join a mature organisation as a proficient infrastructure engineering professional to assist in delivering on key projects,https://www.seek.co.nz/job/77599365?type=standout&ref=search-standalone&origin=cardTitle#sol=2a205290e8ecb92b045c31b57dda015a738b9f54,,liz.kim@crewconsulting.co.nz,,Christchurch Central,Canterbury,"$150,000-$165,000",2024-07-29
Data Scientist,"Hays | Technology",Data Scientist needed (12-month contract),https://www.seek.co.nz/job/77595691?type=standout&ref=search-standalone&origin=cardTitle#sol=c6a86cc55e3d513b22dcc656b7cfe2c9162a4f2a,,Giovana.Piazzetta@hays.net.nz,,Christchurch Central,Canterbury,,2024-07-29
